,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel
223,368,09:54:41 04-14-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
224,367,04:43:50 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
225,366,00:49:03 04-14-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
226,365,21:15:32 04-13-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
228,364,16:50:29 04-13-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
229,362,14:23:16 04-13-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
231,360,10:55:32 04-13-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
232,359,08:50:55 04-13-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
233,358,05:06:41 04-13-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
234,357,01:54:06 04-13-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
235,356,20:15:09 04-12-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
237,354,18:37:00 04-12-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
238,353,17:23:11 04-12-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
240,351,13:03:56 04-12-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
241,350,12:38:03 04-12-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
243,348,10:56:59 04-12-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
244,347,19:30:20 04-11-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
245,346,16:26:14 04-11-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
246,345,15:10:42 04-11-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
247,344,14:00:42 04-11-2021,Pee,Windel leer  Pipi ins Töpfchen,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
248,343,11:41:51 04-11-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
250,341,10:00:31 04-11-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
252,339,08:11:47 04-11-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
253,338,02:40:43 04-11-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
254,337,21:00:28 04-10-2021,Pee,En el cambiador,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
255,336,18:14:27 04-10-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
256,335,17:11:57 04-10-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
257,333,16:14:43 04-10-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
258,334,15:15:07 04-10-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
260,331,12:32:50 04-10-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
261,330,11:48:35 04-10-2021,Pee,Töpfchen und Windeln,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
262,329,09:38:40 04-10-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
263,328,09:00:29 04-10-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
264,327,07:10:52 04-10-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
265,326,04:25:38 04-10-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
266,325,21:00:04 04-09-2021,Pee,pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
267,324,18:39:16 04-09-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
269,322,10:57:07 04-09-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
270,321,10:00:08 04-09-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
271,319,06:47:05 04-09-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
272,320,05:00:32 04-09-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
273,318,02:17:32 04-09-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
274,317,20:55:01 04-08-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
275,316,18:45:53 04-08-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
276,315,17:55:00 04-08-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
277,314,12:11:55 04-08-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
279,312,10:05:09 04-08-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
280,311,09:42:02 04-08-2021,Pee,En el cambiador. ,"Windel: feucht, Mica: False","{'Windel': 'feucht', 'Mica': True}",True,feucht
281,310,09:02:52 04-08-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
282,309,05:30:37 04-08-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
283,308,00:31:02 04-08-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
284,307,21:30:33 04-07-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
285,306,18:54:29 04-07-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
286,305,18:37:29 04-07-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
287,304,17:14:13 04-07-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
288,303,16:02:42 04-07-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
289,302,14:30:07 04-07-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
290,298,12:39:04 04-07-2021,Pee,Mica und Nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
291,299,10:00:01 04-07-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
292,301,08:01:16 04-07-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
293,300,05:00:56 04-07-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
294,297,01:18:20 04-07-2021,Pee,En la mica y Pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
296,292,17:15:21 04-06-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
297,293,16:30:11 04-06-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
298,291,13:33:52 04-06-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
299,289,10:35:24 04-06-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
300,290,08:42:41 04-06-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
301,288,05:25:54 04-06-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
303,286,04:58:10 04-06-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
304,285,20:59:11 04-05-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
306,283,13:56:13 04-05-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
308,282,08:40:28 04-05-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
309,280,05:07:31 04-05-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
310,279,00:47:36 04-05-2021,Pee,En la mica y Pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
311,278,21:14:48 04-04-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
312,277,19:05:17 04-04-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
313,276,13:18:11 04-04-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
314,275,08:00:10 04-04-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
316,273,23:13:17 04-03-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
317,272,18:11:43 04-03-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
318,271,17:22:34 04-03-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
320,269,14:51:18 04-03-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
322,267,08:45:34 04-03-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
323,265,06:19:19 04-03-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
324,259,06:05:24 04-03-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
325,260,00:09:59 04-03-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
326,262,21:00:44 04-02-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
327,263,19:15:08 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
328,266,18:19:34 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
329,264,15:17:29 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
330,258,13:20:45 04-02-2021,Pee,Pipi Töpfchen,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
331,257,09:34:48 04-02-2021,Pee,Töpfchen + Windel (gut voll),"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
333,261,06:11:15 04-02-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
334,255,00:22:04 04-02-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
336,253,00:02:05 04-02-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
337,252,17:41:48 04-01-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
338,251,13:47:44 04-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
339,250,08:58:20 04-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
341,248,05:57:46 04-01-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
342,247,00:22:08 04-01-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
343,246,21:04:15 03-31-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
344,245,18:00:09 03-31-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
345,244,14:40:29 03-31-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
347,242,10:59:10 03-31-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
348,241,09:43:11 03-31-2021,Pee,Töpfchen und Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
350,239,06:36:05 03-31-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
351,238,03:00:06 03-31-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
352,237,09:48:38 03-30-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
353,236,05:41:40 03-30-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
354,235,05:30:13 03-30-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
356,234,16:25:16 03-29-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
357,232,09:30:33 03-29-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
359,230,20:40:17 03-28-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
360,229,17:23:17 03-28-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
361,228,12:45:24 03-28-2021,Pee,Während nackt Zeit,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
364,226,09:40:27 03-28-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
365,224,16:31:08 03-27-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
366,223,16:20:39 03-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
367,222,14:20:51 03-27-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
368,220,10:40:32 03-27-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
370,218,05:55:40 03-27-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
371,217,04:49:53 03-27-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
372,216,01:35:33 03-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
374,214,17:15:01 03-26-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
375,213,16:41:56 03-26-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
376,212,12:08:31 03-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
377,211,08:36:21 03-26-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
378,210,06:22:58 03-26-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
379,209,04:40:49 03-26-2021,Pee,En la mica y pañal mojado ,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
380,208,00:07:09 03-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
381,206,17:50:35 03-25-2021,Pee,En la mica y en el pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
382,207,15:00:17 03-25-2021,Pee,En la mica y pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
383,204,12:30:27 03-25-2021,Pee,En la mica y en el pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
384,205,09:00:57 03-25-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
386,202,06:15:30 03-25-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
387,201,03:10:47 03-25-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
388,200,10:01:45 03-24-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
389,199,09:08:23 03-24-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
391,197,05:35:26 03-24-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
392,196,02:40:15 03-24-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
393,195,16:31:18 03-23-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
394,194,14:02:19 03-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
395,193,11:30:16 03-23-2021,Pee,En la mica después de llegar,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
397,192,08:20:40 03-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
398,190,04:57:25 03-23-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
399,189,00:08:10 03-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
400,188,20:39:34 03-22-2021,Pee,Windel voll und in Töpfchen,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
402,185,12:16:16 03-22-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
403,184,12:05:57 03-22-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
405,182,08:48:44 03-22-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
406,179,06:19:15 03-22-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
408,178,04:46:10 03-22-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
409,177,03:13:31 03-22-2021,Pee,En el pañal y mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
410,176,23:46:51 03-21-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
411,175,20:31:40 03-21-2021,Pee,In Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
413,173,14:40:28 03-21-2021,Pee,En la mica y pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
414,172,12:35:48 03-21-2021,Pee,En la mica y pañal lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
416,171,09:06:32 03-21-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
417,169,05:46:22 03-21-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
418,168,00:13:29 03-21-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
419,167,20:10:05 03-20-2021,Pee,Töpfchen und Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
420,166,17:10:42 03-20-2021,Pee,Mica y pañal lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
421,165,14:32:37 03-20-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
422,163,11:29:01 03-20-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
423,164,09:30:40 03-20-2021,Pee,Pañal lleno. Después del baño en la toalla,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
425,161,04:26:35 03-20-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
426,158,20:19:56 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
427,154,18:58:05 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
428,155,15:50:31 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
429,157,13:00:38 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
433,152,04:59:56 03-18-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
434,150,02:20:31 03-18-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
435,149,00:13:20 03-18-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
437,147,13:47:48 03-17-2021,Pee,En la mica y pañal mojado. Después de despertarse,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
438,146,11:35:45 03-17-2021,Pee,En la mica. Arqueó la espalda mientras en el cambiador,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
439,145,11:16:04 03-17-2021,Pee,En la mica después de despertarse,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
440,144,08:51:50 03-17-2021,Pee,Pañal lleno y pipí en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
443,141,00:00:59 03-17-2021,Pee,En la mica. 15 minutos después de comer,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
444,140,23:37:55 03-16-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
446,138,18:05:19 03-16-2021,Pee,En la mica. Apenas se despertó. Pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
447,137,16:04:00 03-16-2021,Pee,En la mica después de llegar y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
449,135,13:55:35 03-16-2021,Pee,En la mica un poquito y pañal mojado,"Windel: feucht, Mica: True","{'Windel': 'feucht', 'Mica': True}",True,feucht
451,133,06:23:00 03-16-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
452,132,03:06:48 03-16-2021,Pee,En la mica y pañal lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
454,130,23:33:25 03-15-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
455,129,18:01:13 03-15-2021,Pee,Während trinken aufgehört und dann angefangen zu pinkeln.,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
456,128,13:26:34 03-15-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
457,127,12:15:25 03-15-2021,Pee,En la mica y pañal estaba lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
458,126,09:22:53 03-15-2021,Pee,Windel nass. Pipi ins Töpfchen.,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
461,123,00:48:16 03-15-2021,Pee,Windel nass + pipi en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
462,122,21:42:44 03-14-2021,Pee,En la mica. Wurde unruhig beim Schlafen. ,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
463,120,18:42:25 03-14-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
464,119,15:00:21 03-14-2021,Pee,15 después de comer. Se despertó. Cuerpo tenso. Pipi,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
466,117,12:00:59 03-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
467,115,10:00:36 03-14-2021,Pee,Pipi en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
471,112,00:49:54 03-14-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
472,111,20:49:17 03-13-2021,Pee,Wenig in der Windel,"Windel: feucht, Mica: False","{'Windel': 'feucht', 'Mica': True}",True,feucht
473,110,17:23:12 03-13-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
474,109,15:42:22 03-13-2021,Pee,En la mica. Se quejó después de despertarse,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
476,106,10:00:06 03-13-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
